Fecha,Docto,Folio,TipoMovimiento,Almacen,Entradas,Salidas,Existencias,CostoUnitario,CantPorCostear,Capas,CodigoProducto,DescripcionProducto,Unidad,Últ.Compra,ControlAlmacen,MinStock,MaxStock,ExistenciaTotal
21/Abr/2021,RECEP01802,30650,Compras,1,200.0,0.0,224.8,8.55,0.0,0.0,CABFV-20250°,CABLE FV CAL.20-250°,M,31/Oct/2023,MP,0.0,0.0,359.3
25/Mar/2021,RECEP01736,29346,Compras,1,100.0,0.0,146.5,8.55,0.0,0.0,CABFV-20250°,CABLE FV CAL.20-250°,M,31/Oct/2023,MP,0.0,0.0,359.3
22/Jun/2021,RECEP01956,33735,Compras,1,20.0,0.0,31.0,17.0,0.0,0.0,CLAVIJAB2,CLAVIJA HEMBRA 125V 15A 2P LEVITON,PZ,22/Jun/2021,MP,0.0,0.0,0.0
12/Ago/2021,RECEP02074,36372,Compras,1,20.0,0.0,23.0,71.0,0.0,0.0,TE0014,TERMOSTATO CAMPINI T/CAFETERA 0° A,PZ,20/Oct/2023,Stock máximo:,0.0,0.0,19.0
01/Jul/2021,RECEP01991,34308,Compras,1,1000.0,0.0,1041.0,3.0,0.0,0.0,ANILLO-3/16,"ANILLO P/TERMOPAR 3/16Ø INT.X1/4""Ø EXT.""",PZ,25/Oct/2023,M,100.0,200.0,391.0
18/Oct/2021,RECEP02235,39775,Compras,1,20.0,0.0,67.86,730.0,0.0,0.0,ALEK14,"ELEMENTO TERMOPAR TIPO K"" CAL.14""",MT,24/Oct/2023,Stock máximo:,10.0,200.0,139.58
31/Ago/2021,RECEP02129,37396,Compras,1,20.0,0.0,60.64,730.0,0.0,0.0,ALEK14,"ELEMENTO TERMOPAR TIPO K"" CAL.14""",MT,24/Oct/2023,Stock máximo:,10.0,200.0,139.58
03/Jun/2021,RECEP01910,32798,Compras,1,20.0,0.0,48.2,730.0,0.0,0.0,ALEK14,"ELEMENTO TERMOPAR TIPO K"" CAL.14""",MT,24/Oct/2023,Stock máximo:,10.0,200.0,139.58
18/Feb/2021,RECEP01619,27310,Compras,1,15.0,0.0,54.65,80.0,0.0,0.0,ALEK14,"ELEMENTO TERMOPAR TIPO K"" CAL.14""",MT,24/Oct/2023,Stock máximo:,10.0,200.0,139.58
17/Nov/2021,RECEP02315,41417,Compras,1,20.0,0.0,20.0,168.17,0.0,0.0,CABMARSTD,CABEZA MARINA DE ALUMINIO STD,PZ,31/Oct/2023,K,20.0,40.0,20.0
05/Oct/2021,RECEP02211,39164,Compras,1,10.0,0.0,15.0,168.17,0.0,0.0,CABMARSTD,CABEZA MARINA DE ALUMINIO STD,PZ,31/Oct/2023,K,20.0,40.0,20.0
01/Sep/2021,RECEP02132,37505,Compras,1,10.0,0.0,14.0,168.17,0.0,0.0,CABMARSTD,CABEZA MARINA DE ALUMINIO STD,PZ,31/Oct/2023,K,20.0,40.0,20.0
05/Jul/2021,RECEP01995,34453,Compras,1,10.0,0.0,16.0,168.17,0.0,0.0,CABMARSTD,CABEZA MARINA DE ALUMINIO STD,PZ,31/Oct/2023,K,20.0,40.0,20.0
30/Jun/2021,RECEP01977,34159,Compras,1,10.0,0.0,13.0,168.17,0.0,0.0,CABMARSTD,CABEZA MARINA DE ALUMINIO STD,PZ,31/Oct/2023,K,20.0,40.0,20.0
